cycle,wvalid,wready,avalid,aready,woff,aoff,wpend,apend,pending_woff,pending_aoff,wcommit_old,wcommit_new,acommit_old,acommit_new,wremain_old,wremain_new,aremain_old,aremain_new,wread,aread,k,wbytes,abytes
20,1,1,0,1,0,0,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,0,0
21,1,1,0,1,16,16,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,16,0
22,1,1,0,1,32,32,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,32,0
23,1,1,0,1,48,48,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,48,0
24,1,1,0,1,64,64,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,64,0
25,1,1,0,1,80,80,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,80,0
26,1,1,0,1,96,96,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,96,0
27,1,1,0,1,112,112,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,112,0
28,1,1,0,1,128,128,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,128,0
29,1,1,0,1,144,144,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,144,0
30,1,1,0,1,160,160,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,160,0
31,1,1,0,1,176,176,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,176,0
32,1,1,0,1,192,192,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,192,0
33,1,1,0,1,208,208,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,208,0
34,1,1,0,1,224,224,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,224,0
35,1,1,0,1,240,240,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,240,0
36,1,1,0,1,256,256,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,256,0
37,1,1,0,1,272,272,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,ffff,0,0,0,272,0
38,1,1,0,1,288,288,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,000f,0,0,0,288,0
39,1,1,0,1,304,304,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,304,0
40,1,1,0,1,320,320,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,320,0
41,1,1,0,1,336,336,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,336,0
42,1,1,0,1,352,352,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,352,0
43,1,1,0,1,368,368,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,368,0
44,1,1,0,1,384,384,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,384,0
45,1,1,0,1,400,400,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,400,0
46,1,1,0,1,416,416,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,416,0
47,1,1,0,1,432,432,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,432,0
48,1,1,0,1,448,448,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,448,0
49,1,1,0,1,464,464,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,464,0
50,1,1,0,1,480,480,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,480,0
51,1,1,0,1,496,496,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,496,0
52,1,1,0,1,512,512,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,512,0
53,1,1,0,1,528,528,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,528,0
54,1,1,0,1,544,544,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,544,0
55,1,1,0,1,560,560,0,0,0,0,0000,ffff,0000,0000,0000,0000,0000,0000,0,0,0,560,0
56,0,1,1,1,0,0,0,0,0,0,0000,0000,0000,ffff,0000,ffff,0000,0000,0,0,0,576,0
57,0,1,1,1,16,16,0,0,0,0,0000,0000,0000,ffff,0000,ffff,0000,0000,0,0,0,576,16
58,0,1,1,1,32,32,0,0,0,0,0000,0000,0000,000f,0000,ffff,0000,fff0,0,0,0,576,32
59,0,1,1,1,48,48,0,1,0,32,0000,0000,fff0,ffff,0000,ffff,0000,0000,0,0,0,576,36
60,0,1,1,1,64,64,0,0,0,32,0000,0000,0000,000f,0000,ffff,fff0,fff0,0,0,0,576,64
61,0,1,1,1,80,80,0,1,0,64,0000,0000,fff0,ffff,0000,ffff,0000,0000,0,0,0,576,68
62,0,1,1,1,96,96,0,0,0,64,0000,0000,0000,000f,0000,ffff,fff0,fff0,0,0,0,576,96
63,0,1,1,1,112,112,0,1,0,96,0000,0000,fff0,ffff,0000,ffff,0000,0000,0,0,0,576,100
64,0,1,1,1,128,128,0,0,0,96,0000,0000,0000,000f,0000,ffff,fff0,fff0,0,0,0,576,128
65,0,1,1,1,144,144,0,1,0,128,0000,0000,fff0,ffff,0000,ffff,0000,0000,0,0,0,576,132
66,0,1,1,1,160,160,0,0,0,128,0000,0000,0000,000f,0000,ffff,fff0,fff0,0,0,0,576,160
67,0,1,1,1,176,176,0,1,0,160,0000,0000,fff0,ffff,0000,ffff,0000,0000,0,0,0,576,164
68,0,1,1,1,192,192,0,0,0,160,0000,0000,0000,000f,0000,ffff,fff0,fff0,0,0,0,576,192
69,0,1,1,1,208,208,0,1,0,192,0000,0000,fff0,ffff,0000,ffff,0000,0000,0,0,0,576,196
70,0,1,1,1,224,224,0,0,0,192,0000,0000,0000,000f,0000,ffff,fff0,fff0,0,0,0,576,224
71,0,1,1,1,240,240,0,1,0,224,0000,0000,fff0,ffff,0000,ffff,0000,0000,0,0,0,576,228
72,0,1,1,1,256,256,0,0,0,224,0000,0000,0000,ffff,0000,ffff,fff0,0000,0,0,0,576,256
73,0,1,1,1,272,272,0,0,0,224,0000,0000,0000,ffff,0000,ffff,fff0,0000,0,0,0,576,272
74,0,1,1,1,288,288,0,0,0,224,0000,0000,0000,000f,0000,000f,fff0,0000,0,0,0,576,288
75,0,1,0,1,0,0,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,0,0,0,576,292
76,0,0,0,0,16,16,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,0,576,292
77,0,0,0,0,32,32,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,8,576,292
78,0,0,0,0,48,48,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,16,576,292
79,0,0,0,0,64,64,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,24,576,292
80,0,0,0,0,80,80,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,32,576,292
81,0,0,0,0,96,96,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,40,576,292
82,0,0,0,0,112,112,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,48,576,292
83,0,0,0,0,128,128,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,56,576,292
84,0,0,0,0,144,144,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,64,576,292
85,0,0,0,0,160,160,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,72,576,292
86,0,0,0,0,176,176,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,80,576,292
87,0,0,0,0,192,192,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,88,576,292
88,0,0,0,0,208,208,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,96,576,292
89,0,0,0,0,224,224,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,104,576,292
90,0,0,0,0,240,240,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,112,576,292
91,0,0,0,0,256,256,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,120,576,292
92,0,0,0,0,272,272,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,ffff,1,1,128,576,292
93,0,0,0,0,288,288,0,0,0,224,0000,0000,0000,0000,0000,ffff,fff0,000f,1,1,136,576,292
