q5_0_cycle_multiplier,projected_cycles,optimistic_recoverable_cycles,optimistic_recoverable_fraction,meets_10pct_target
0.5,143332632,13908894,0.09703927050275359,0
1.0,145760385,14270914,0.0979066705950317,0
2.0,150615892,14994954,0.0995575818785444,0
4.0,160326906,16443034,0.10255941694527555,1
