label,source,sha256,samples,compute_samples,weight_wait_samples,start_weight_samples,r_transfer_samples,r_transfer_ratio,median_complete_compute_run,median_weight_wait_run,state_runs
Q4_K,hardware/qbs_root_audit_20260831/q4k_k1536_n1536/audit.vcs.log,8cdac6f60e9866cf7dcd4db091ff76b02742d5c79a8b1835e724c9c49b8ab9de,200,184,11,5,184,0.92,36,2,s3:36 s4:3 s5:1 s3:36 s4:2 s5:1 s3:36 s4:2 s5:1 s3:36 s4:2 s5:1 s3:36 s4:2 s5:1 s3:4
Q6_K,hardware/qbs_root_audit_20260831/q6k_k8960_n256/audit.vcs.log,c91d694f263f2f5513bcb34a39f8d9cbbbcb638fdd4aa361dc8bd9d05f039e83,200,139,58,3,189,0.945,36.0,19,s3:36 s4:20 s5:1 s3:36 s4:19 s5:1 s3:36 s4:19 s5:1 s3:31
