strategy,case_name,cycles,mismatches,speedup_vs_rvv,akv_records,akv_busy_cycles,akv_v2_full,akv_v2_refill,akv_v2_row_load,akv_v2_column_load,akv_release,akv_q_external_bytes,akv_kv_external_bytes,akv_replay_bytes,akv_replay_backpressure_cycles,akv_read_ranges,akv_ar,akv_r_beats,akv_read_payload_bytes,akv_read_backpressure_cycles,akv_read_outstanding_occ_sum,akv_read_outstanding_max,akv_read_outstanding_full_cycles,log,log_sha256
rvv_qhead_serial,operator/prefill/attention_core/rvv,1131610,0,1.0,0,,,,,,,,,,,,,,,,,,,/home/wangwy/openproject/ara_dsa/hardware/prefill_attention_stage1_runs/decode_attention_core_rvv_kv256_20260901_062809/ara.log,5f486dc464ba60af95443bfc785895be1ec57ef4f2b5b3220450d7c8cfb4b883
akv_gqa_serial,operator/prefill/attention_core/akv_v2,475640,0,2.3791312757547725,4140,76882,30,0,240,3840,30,46080,122880,122880,17280,690,720,10680,170880,0,20550,2,9510,/home/wangwy/openproject/ara_dsa/hardware/prefill_attention_stage1_20260901/m15_rtl_16m_runs/decode_attention_core_akv_v2_kv256_20260901_080838/ara.log,454208ba599d09971d335d644e8e7d24c3031fa66b14c30e8b075998d863c69e
