avl,result,task_cycles,cyc_per_elem,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
16,FAILED,2053,128.312,,246,,,,,,,,,,,,,,,,,,147,18,17,1022,129,98,81,7,55,26,0,31,1950,15,7936,6656,0,1031,26,34,0,0,0,0,0,0,76,1859,30,1827,0,0,46,0,0
64,FAILED,5701,89.078,,966,,,,,,,,,,,,,,,,,,579,66,65,4670,513,386,321,9,231,106,0,127,5406,63,32512,27136,0,1559,106,98,0,0,0,0,0,0,316,5171,126,5043,0,0,190,0,0
