Command: /tmp/ara_dsa_sram_20260908/macro_functional/sram/./simv -l run.log
Chronologic VCS simulator copyright 1991-2023
Contains Synopsys proprietary information.
Compiler version V-2023.12-SP1_Full64; Runtime version V-2023.12-SP1_Full64;  Sep  8 10:05 2026
QBS adapter case PASS profile=9 M=4 rows=4 group=1 layout=2 W=72 A=136
QBS adapter case PASS profile=9 M=5 rows=4 group=1 layout=3 W=72 A=272
QBS adapter case PASS profile=9 M=6 rows=4 group=1 layout=3 W=72 A=272
QBS adapter case PASS profile=9 M=7 rows=4 group=1 layout=3 W=72 A=272
QBS adapter case PASS profile=9 M=8 rows=4 group=1 layout=3 W=72 A=272
QBS adapter case PASS profile=9 M=2 rows=2 group=0 layout=1 W=36 A=68
QBS adapter case PASS profile=9 M=2 rows=2 group=1 layout=1 W=36 A=68
QBS SRAM adapter PASS cases=81 strobe_masks=65536 cycles=162564 simultaneous=71056 duplicates=6455 clear_collisions=81 idle=77420
$finish called from file "/home/wangwy/openproject/ara_dsa_sram/verification/timing/qbs_sram_adapter_tb.sv", line 318.
QBS SRAM checker base=0 cycles=164560 read_windows=5104 weight_pending=940 activation_pending=960 simultaneous=0
QBS SRAM checker base=4 cycles=164560 read_windows=5104 weight_pending=940 activation_pending=220 simultaneous=0
$finish at simulation time           1645631000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 1645631000 ps
CPU Time:    113.740 seconds;       Data structure size:   4.4Mb
Tue Sep  8 10:07:21 2026
