kernel,tag,avl,blas_lmul,gemm_rows,ideal_rvv_cycles,ideal_lane_util,real_total_cycles,real_rvv_cycles,real_vector_insns,real_insns,real_ipc,hw_cycles,dcache_stalls,icache_stalls,sb_full,axi_ar,axi_r,axi_aw,axi_w,axi_b
vsgemm_asm,m4_1row_avl32,32,4,1,30082,0.789,30857,29280,2113,10813,0.350,30751,128,12,18908,1024,8192,32,256,32
vsgemm_asm,m4_1row_avl64,64,4,1,152514,0.833,153896,149120,8321,42077,0.273,153791,512,12,109527,4352,65536,64,1024,64
vsgemm_asm,m4_1row_avl128,128,4,1,TIMEOUT,NA,874921,858369,33025,166045,0.190,874816,2048,12,702411,18432,524288,144,4096,144
vsgemm_asm,m4_2row_avl32,32,4,2,18195,0.828,19418,17821,1601,7613,0.392,19312,128,14,9231,512,4096,32,256,32
vsgemm_asm,m4_2row_avl64,64,4,2,97027,0.870,98745,95336,6273,29533,0.299,98639,512,13,58680,2176,32768,64,1024,64
vsgemm_asm,m4_2row_avl128,128,4,2,TIMEOUT,NA,587066,577746,24833,116381,0.198,586961,2048,14,414409,9216,262144,144,4096,144
vsgemm_asm,m4_4row_avl32,32,4,4,11269,0.860,13454,11657,1345,5717,0.425,13348,128,19,64,256,2048,32,256,32
vsgemm_asm,m4_4row_avl64,64,4,4,65397,0.901,68858,64606,5249,22157,0.322,68753,512,20,449,1024,16384,68,1024,68
vsgemm_asm,m4_4row_avl128,128,4,4,TIMEOUT,NA,427454,421842,20737,87293,0.204,427349,2048,20,2713,4096,131072,144,4096,144
vsspmv_asm,fixed32,1024,,,5249,0.549,5766,5118,257,1112,0.193,5643,0,9,2493,1088,1536,0,0,0
