group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
avl,vstencil3_hdv,,1024,,,,PASSED,2266,2.212,,2334,773,0,3,224,32,128,128,1,128,0,256,256,256,256,128,0,0,0,453,68,66,2258,385,291,261,5,3,95,95,96,2610,32,416,12640,0,0,2,0,2,1,0,0,0,10,256,128,34,0,64,0,0,0,1.000
avl,vstencil3_hdv,,128,,,,PASSED,306,2.390,,374,101,0,3,28,4,16,16,1,16,0,32,32,32,32,16,0,0,0,61,12,10,298,49,39,37,6,3,9,9,12,678,4,416,1248,0,0,0,0,0,0,0,0,0,0,32,16,6,0,8,0,0,0,1.000
avl,vstencil3_hdv,,2048,,,,PASSED,4506,2.200,,4574,1541,0,3,448,64,256,256,1,256,0,512,512,512,512,256,0,0,0,901,132,130,4498,769,579,517,5,3,193,193,192,4818,64,416,25696,0,0,8,1,4,2,0,0,0,27,512,256,66,0,128,0,0,0,1.000
avl,vstencil3_hdv,,256,,,,PASSED,586,2.289,,654,197,0,3,56,8,32,32,1,32,0,64,64,64,64,32,0,0,0,117,20,18,578,97,75,69,5,3,21,21,24,954,8,416,2912,0,0,0,0,0,0,0,0,0,0,64,32,10,0,16,0,0,0,1.000
avl,vstencil3_hdv,,32,,,,PASSED,95,2.968,,163,29,0,3,7,1,4,4,1,4,0,8,8,8,8,4,0,0,0,18,4,3,87,14,11,12,6,3,0,0,3,470,1,416,0,0,0,0,0,0,0,0,0,0,3,8,4,3,0,2,0,0,0,
avl,vstencil3_hdv,,4096,,,,PASSED,8986,2.193,,9054,3077,0,3,896,128,512,512,1,512,0,1024,1024,1024,1024,512,0,0,0,1797,260,258,8978,1537,1155,1029,5,9,388,383,384,9234,128,1248,51664,0,1,32,7,8,12,0,0,0,136,1024,512,136,1,256,0,0,0,.987
avl,vstencil3_hdv,,512,,,,PASSED,1146,2.238,,1214,389,0,3,112,16,64,64,1,64,0,128,128,128,128,64,0,0,0,229,36,34,1138,193,147,133,5,3,45,45,48,1506,16,416,6240,0,0,0,0,0,0,0,0,0,0,128,64,18,0,32,0,0,0,1.000
avl,vstencil3_hdv,,64,,,,PASSED,166,2.593,,234,53,0,3,14,2,8,8,1,8,0,16,16,16,16,8,0,0,0,33,8,6,158,25,21,21,6,3,3,3,6,540,2,416,416,0,0,0,0,0,0,0,0,0,0,16,8,4,0,4,0,0,0,1.000
