group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cycles_raw,ara_backpressure_cycles,real_wait_stall,resp_meta_stall,resp_meta_max,ep_count,packed_inst_count,packed_scalar_inst_count,packed_vector_inst_count,ep_width_sum,ep_width_gt1_count,ep_scalar_vector_count,used_issue_slots,available_issue_slots,heu_to_current,heu_to_buffer,heu_scalar_only,heu_vector_only,heu_pf_hint_ep,heu_pf_disable_ep,heu_pf_mode_1x,heu_pf_mode_2x,heu_pf_mode_4x,heu_pf_mode_8x,heu_valid_cyc,heu_ready_block_cyc,heu_block_buffer_cyc,heu_block_branch_cyc,heu_current_busy_cyc,heu_buffer_valid_cyc,heu_scalar_out_cyc,heu_vector_out_cyc,early_issue_attempts,early_issue_grants,early_issue_blocked_by_dispatch,early_issue_blocked_by_queue,early_issue_blocked_by_branch,early_issue_blocked_by_scalar_mem,early_issue_blocked_by_dependency,early_issue_blocked_by_gpr_dependency,early_issue_blocked_by_fpr_dependency,early_issue_blocked_by_vector_dependency,cross_ep_inflight_cycles,overlap_cycles,vector_cmd_valid_cycles,vector_cmd_fire_count,vector_cmd_blocked_cycles,cmd_window_avg_occ,cmd_window_sum_occ,cmd_window_sample_cycles,cmd_window_max_occ,cmd_window_full_cycles,cmd_window_empty_cycles,vq_avg_occ,vq_empty_cycles,vq_full_cycles,resp_meta_sum_occ,resp_meta_sample_cycles,scalar_operand_capture_count,scalar_operand_bypass_hit,scalar_operand_wait_cycles,vset_visible_wait_cycles,scalar_operand_bypass,scalar_operand_lookahead_req,scalar_operand_lookahead_hit,scalar_operand_port_busy,vector_ep_enqueue,vector_ep_pending_enqueue,vector_ep_ready_block,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,pf_throttled_cycles,pf_late,pf_unused,pf_wait_match_cyc,pf_wait_match_evt,pf_queue_valid_cyc,pf_queue_block_cyc,pf_lkup_full_cyc,pf_rob_full_cyc,pf_pending_cyc,pf_stream_break,pf_future_keep,pf_queue_match_cyc,pf_rob_match_cyc,pf_page_wait_cyc,seq_issue,seq_blocked_cycles,seq_raw_cycles,seq_war_cycles,seq_waw_cycles,seq_waw_block,seq_ep_bypass,seq_full,hazard_check_count,same_ep_hazard_candidate,hazard_pruned_by_ep,seq_true_hazard_stall,seq_false_hazard_stall,seq_queue_full_stall,seq_lane_desync_stall,seq_operand_req_stall,seq_wait_state_cyc,seq_mem_wait_cyc,pf_hit_rate
blas,vstrsm_hdv,vstrsm_hdv,,128,,128,PASSED,644388,,39.3303,644456,141381,0,1,24769,0,24513,24513,3,256,0,24769,24769,8767,24769,153334,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,24769,,,,,,,,,74693,8512,8384,644380,66181,49796,41541,9,9328,0,0,8256,0,9328,4227072,0,0,0,0,0,0,0,9328,0,0,0,,,,,,,,,,,,,,,,33024,145333,8387,128802,8257,1,0,0,,,,,,,,,,,
blas,vstrsm_hdv,vstrsm_hdv,,16,,16,PASSED,10804,,42.2031,10872,2445,0,1,409,0,377,377,3,32,0,409,409,199,409,2302,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,409,,,,,,,,,1277,168,152,10796,1109,852,717,9,158,0,0,136,0,158,69632,0,0,0,0,0,0,0,158,0,0,0,,,,,,,,,,,,,,,,544,2197,155,1906,137,1,0,0,,,,,,,,,,,
blas,vstrsm_hdv,vstrsm_hdv,,32,,32,PASSED,41412,,40.4414,41480,9237,0,1,1585,0,1521,1521,3,64,0,1585,1585,655,1585,9286,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1585,,,,,,,,,4853,592,560,41404,4261,3236,2709,9,604,0,0,528,0,604,270336,0,0,0,0,0,0,0,604,0,0,0,,,,,,,,,,,,,,,,2112,8821,563,7746,529,1,0,0,,,,,,,,,,,
blas,vstrsm_hdv,vstrsm_hdv,,64,,64,PASSED,162532,,39.6806,162600,35877,0,1,6241,0,6113,6113,3,128,0,6241,6241,2335,6241,37846,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,6241,,,,,,,,,18917,2208,2144,162524,16709,12612,10533,9,2360,0,0,2080,0,2360,1064960,0,0,0,0,0,0,0,2360,0,0,0,,,,,,,,,,,,,,,,8320,35893,2147,31714,2081,1,0,0,,,,,,,,,,,
