group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cycles_raw,ara_backpressure_cycles,real_wait_stall,resp_meta_stall,resp_meta_max,ep_count,packed_inst_count,packed_scalar_inst_count,packed_vector_inst_count,ep_width_sum,ep_width_gt1_count,ep_scalar_vector_count,used_issue_slots,available_issue_slots,heu_to_current,heu_to_buffer,heu_scalar_only,heu_vector_only,heu_pf_hint_ep,heu_pf_disable_ep,heu_pf_mode_1x,heu_pf_mode_2x,heu_pf_mode_4x,heu_pf_mode_8x,heu_valid_cyc,heu_ready_block_cyc,heu_block_buffer_cyc,heu_block_branch_cyc,heu_current_busy_cyc,heu_buffer_valid_cyc,heu_scalar_out_cyc,heu_vector_out_cyc,early_issue_attempts,early_issue_grants,early_issue_blocked_by_dispatch,early_issue_blocked_by_queue,early_issue_blocked_by_branch,early_issue_blocked_by_scalar_mem,early_issue_blocked_by_dependency,early_issue_blocked_by_gpr_dependency,early_issue_blocked_by_fpr_dependency,early_issue_blocked_by_vector_dependency,cross_ep_inflight_cycles,overlap_cycles,vector_cmd_valid_cycles,vector_cmd_fire_count,vector_cmd_blocked_cycles,cmd_window_avg_occ,cmd_window_sum_occ,cmd_window_sample_cycles,cmd_window_max_occ,cmd_window_full_cycles,cmd_window_empty_cycles,vq_avg_occ,vq_empty_cycles,vq_full_cycles,resp_meta_sum_occ,resp_meta_sample_cycles,scalar_operand_capture_count,scalar_operand_bypass_hit,scalar_operand_wait_cycles,vset_visible_wait_cycles,scalar_operand_bypass,scalar_operand_lookahead_req,scalar_operand_lookahead_hit,scalar_operand_port_busy,vector_ep_enqueue,vector_ep_pending_enqueue,vector_ep_ready_block,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,pf_throttled_cycles,pf_late,pf_unused,pf_wait_match_cyc,pf_wait_match_evt,pf_queue_valid_cyc,pf_queue_block_cyc,pf_lkup_full_cyc,pf_rob_full_cyc,pf_pending_cyc,pf_stream_break,pf_future_keep,pf_queue_match_cyc,pf_rob_match_cyc,pf_page_wait_cyc,seq_issue,seq_blocked_cycles,seq_raw_cycles,seq_war_cycles,seq_waw_cycles,seq_waw_block,seq_ep_bypass,seq_full,hazard_check_count,same_ep_hazard_candidate,hazard_pruned_by_ep,seq_true_hazard_stall,seq_false_hazard_stall,seq_queue_full_stall,seq_lane_desync_stall,seq_operand_req_stall,seq_wait_state_cyc,seq_mem_wait_cyc,pf_hit_rate
avl,dropout_hdv,,1024,,,,PASSED,592,.578,,660,77,0,0,24,8,46,46,9,2,0,48,48,5,40,500,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,40,,,,,,,,,66,10,9,526,56,40,25,9,2,15,14,16,962,8,528,3712,0,0,0,0,0,1,1,0,0,27,,,,,,,,,,,,,,,,26,479,9,456,48,40,0,0,,,,,,,,,,,.933
avl,dropout_hdv,,128,,,,PASSED,57,.445,,125,14,0,4,3,1,5,5,2,1,0,6,6,3,5,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,9,1,1,49,8,4,3,6,2,1,0,2,434,1,528,16,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,4,3,2,1,1,0,0,0,,,,,,,,,,,0
avl,dropout_hdv,,256,,,,PASSED,108,.421,,176,23,0,2,6,2,10,10,3,2,0,12,12,5,10,52,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,10,,,,,,,,,18,4,3,81,14,10,7,5,2,3,2,4,484,2,528,544,0,0,0,0,0,1,0,0,0,28,,,,,,,,,,,,,,,,8,49,3,44,6,4,0,0,,,,,,,,,,,.666
avl,dropout_hdv,,32,,,,PASSED,57,1.781,,125,14,0,3,3,1,5,5,2,1,0,6,6,3,5,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,9,1,1,49,8,4,3,6,2,1,0,2,434,1,144,16,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,4,3,2,1,1,0,0,0,,,,,,,,,,,0
avl,dropout_hdv,,4096,,,,PASSED,2416,.589,,2484,293,0,0,96,32,190,190,9,2,0,192,192,5,160,2180,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,160,,,,,,,,,258,34,33,2350,224,160,97,10,2,63,62,64,2762,32,528,16384,0,0,0,0,0,1,1,0,0,27,,,,,,,,,,,,,,,,98,2087,33,1992,216,184,0,0,,,,,,,,,,,.984
avl,dropout_hdv,,512,,,,PASSED,288,.562,,356,41,0,0,12,4,22,22,8,2,0,24,24,5,20,220,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,20,,,,,,,,,34,6,5,231,28,20,13,8,2,7,6,8,662,4,528,1600,0,0,0,0,0,1,1,0,0,27,,,,,,,,,,,,,,,,14,211,5,200,20,16,0,0,,,,,,,,,,,.857
avl,dropout_hdv,,64,,,,PASSED,57,.890,,125,14,0,4,3,1,5,5,2,1,0,6,6,3,5,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,9,1,1,49,8,4,3,6,2,1,0,2,434,1,272,16,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,4,3,2,1,1,0,0,0,,,,,,,,,,,0
