group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
avl,vsdot_hdv,,1024,,,,PASSED,1772,1.730,,1840,135,0,0,98,33,159,159,8,4,0,163,160,6,97,1583,0,0,0,163,2,1,1638,161,66,3,10,2,63,63,64,2121,0,256,7936,0,0,0,0,1,2,0,0,0,0,99,1520,35,1375,173,142,0,0,1.000
avl,vsdot_hdv,,128,,,,PASSED,260,2.031,,328,23,0,0,14,5,19,19,7,4,0,23,20,6,13,211,0,0,0,23,2,1,126,21,10,3,6,2,6,6,8,637,0,256,768,0,0,0,0,0,2,0,0,0,0,15,204,7,87,33,30,0,0,1.000
avl,vsdot_hdv,,256,,,,PASSED,476,1.859,,544,39,0,0,26,9,39,39,8,4,0,43,40,6,25,407,0,0,0,43,2,1,342,41,18,3,8,2,14,14,16,849,0,256,1792,0,0,0,0,0,2,0,0,0,0,27,392,11,271,53,46,0,0,1.000
avl,vsdot_hdv,,32,,,,PASSED,98,3.062,,166,11,0,0,5,2,5,5,2,3,0,8,7,5,4,63,0,0,0,7,0,0,38,7,2,1,5,2,0,0,2,478,0,256,0,0,0,0,0,0,0,0,0,0,2,6,62,3,0,0,0,0,0,
avl,vsdot_hdv,,512,,,,PASSED,908,1.773,,976,71,0,0,50,17,79,79,8,4,0,83,80,6,49,799,0,0,0,83,2,1,774,81,34,3,9,2,30,30,32,1273,0,256,3840,0,0,0,0,0,2,0,0,0,0,51,768,19,639,93,78,0,0,1.000
avl,vsdot_hdv,,64,,,,PASSED,152,2.375,,220,15,0,0,8,3,9,9,4,4,0,13,12,6,7,113,0,0,0,13,2,1,55,11,5,2,5,2,2,2,4,531,0,256,256,0,0,0,0,0,2,0,0,0,11,9,110,5,8,13,12,0,0,1.000
