group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cycles_raw,ara_backpressure_cycles,real_wait_stall,resp_meta_stall,resp_meta_max,ep_count,packed_inst_count,packed_scalar_inst_count,packed_vector_inst_count,ep_width_sum,ep_width_gt1_count,ep_scalar_vector_count,used_issue_slots,available_issue_slots,heu_to_current,heu_to_buffer,heu_scalar_only,heu_vector_only,heu_pf_hint_ep,heu_pf_disable_ep,heu_pf_mode_1x,heu_pf_mode_2x,heu_pf_mode_4x,heu_pf_mode_8x,heu_valid_cyc,heu_ready_block_cyc,heu_block_buffer_cyc,heu_block_branch_cyc,heu_current_busy_cyc,heu_buffer_valid_cyc,heu_scalar_out_cyc,heu_vector_out_cyc,early_issue_attempts,early_issue_grants,early_issue_blocked_by_dispatch,early_issue_blocked_by_queue,early_issue_blocked_by_branch,early_issue_blocked_by_scalar_mem,early_issue_blocked_by_dependency,early_issue_blocked_by_gpr_dependency,early_issue_blocked_by_fpr_dependency,early_issue_blocked_by_vector_dependency,cross_ep_inflight_cycles,overlap_cycles,vector_cmd_valid_cycles,vector_cmd_fire_count,vector_cmd_blocked_cycles,cmd_window_avg_occ,cmd_window_sum_occ,cmd_window_sample_cycles,cmd_window_max_occ,cmd_window_full_cycles,cmd_window_empty_cycles,vq_avg_occ,vq_empty_cycles,vq_full_cycles,resp_meta_sum_occ,resp_meta_sample_cycles,scalar_operand_capture_count,scalar_operand_bypass_hit,scalar_operand_wait_cycles,vset_visible_wait_cycles,scalar_operand_bypass,scalar_operand_lookahead_req,scalar_operand_lookahead_hit,scalar_operand_port_busy,vector_ep_enqueue,vector_ep_pending_enqueue,vector_ep_ready_block,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,pf_throttled_cycles,pf_late,pf_unused,pf_wait_match_cyc,pf_wait_match_evt,pf_queue_valid_cyc,pf_queue_block_cyc,pf_lkup_full_cyc,pf_rob_full_cyc,pf_pending_cyc,pf_stream_break,pf_future_keep,pf_queue_match_cyc,pf_rob_match_cyc,pf_page_wait_cyc,seq_issue,seq_blocked_cycles,seq_raw_cycles,seq_war_cycles,seq_waw_cycles,seq_waw_block,seq_ep_bypass,seq_full,hazard_check_count,same_ep_hazard_candidate,hazard_pruned_by_ep,seq_true_hazard_stall,seq_false_hazard_stall,seq_queue_full_stall,seq_lane_desync_stall,seq_operand_req_stall,seq_wait_state_cyc,seq_mem_wait_cyc,pf_hit_rate
blas,vsgemm_m1_4r,vsgemm_m1_4r,,128,4,128,PASSED,406271,,.1937,406339,60841,0,0,33473,0,82752,82752,12,193,115480,82945,198393,705,116737,317216,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,116737,,,,,,,,,67014,24738,130,406046,42276,21542,1122,9,3616,12960,12768,16384,402490,512,462848,1658880,0,0,64,31,0,32,0,0,0,544,,,,,,,,,,,,,,,,80736,300640,5856,32545,0,0,0,2464,,,,,,,,,,,.985
blas,vsgemm_m1_4r,vsgemm_m1_4r,,32,4,32,PASSED,9153,,.2793,9221,1519,0,0,561,0,1312,1312,5,33,0,1345,1337,321,1313,2311,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1313,,,,,,,,,1418,47,32,9145,1371,616,94,6,8,256,248,256,9236,32,1024,32768,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1368,2287,1032,2575,0,0,0,0,,,,,,,,,,,.968
blas,vsgemm_m1_4r,vsgemm_m1_4r,,64,4,64,PASSED,54054,,.2061,54122,11161,0,3,6321,0,10400,10400,10,97,0,10497,10481,273,10369,41424,0,0,0,11162,20524,10027,10497,20524,4177,0,20524,89296,1042,10120,4841,6321,11159,0,7063,4096,0,0,47850,36688,33565,3123,49933,35663,29019,20914,25060,4257,2209,0,0,16544,2050,2050,0,0,2079,2079,52097,10497,41600,3.733,195168,52275,10,0,451,3.733,451,0,0,52275,9345,6144,10369,0,5120,1024,1024,9345,6321,2080,0,7576,68,47,54046,7508,4430,1312,7,32,2048,2016,2048,53344,128,4096,262144,0,0,0,0,0,16,0,0,0,272,0,16,32,272,16,2063,15,0,0,2048,15,0,0,272,0,10624,39504,2048,12160,0,0,2048,0,22656,3056,3056,0,12160,0,0,4320,2176,0,.984
