group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
avl,vscopy_hdv,,1024,,,,PASSED,865,.844,,933,129,0,0,64,32,94,94,5,2,0,96,96,5,96,741,0,0,0,130,3,1,845,127,64,1,6,1,32,32,32,1219,33,128,3968,0,0,1,0,1,0,0,0,0,0,96,680,32,616,0,0,0,0,1.000
avl,vscopy_hdv,,128,,,,PASSED,108,.843,,176,17,0,0,8,4,10,10,5,2,0,12,12,5,12,68,0,0,0,18,3,1,89,15,8,1,5,1,3,3,4,490,4,128,384,0,0,0,0,0,0,0,0,0,0,12,63,4,55,0,0,0,0,1.000
avl,vscopy_hdv,,256,,,,PASSED,216,.843,,284,33,0,0,16,8,22,22,5,2,0,24,24,5,24,164,0,0,0,34,3,1,197,31,16,1,6,1,7,7,8,594,8,128,896,0,0,0,0,0,0,0,0,0,0,24,151,8,135,0,0,0,0,1.000
avl,vscopy_hdv,,32,,,,PASSED,32,1.000,,100,5,0,3,2,1,2,2,1,1,0,3,3,3,3,2,0,0,0,5,1,0,24,4,1,0,6,1,0,0,1,417,1,128,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,
avl,vscopy_hdv,,4096,,,,PASSED,3439,.839,,3507,513,0,0,256,128,382,382,5,2,0,384,384,5,384,3027,0,0,0,514,3,1,3419,511,256,1,6,1,131,131,128,3697,132,128,16064,0,0,4,0,4,0,0,0,0,0,384,2774,128,2518,0,0,0,0,1.000
avl,vscopy_hdv,,512,,,,PASSED,432,.843,,500,65,0,0,32,16,46,46,5,2,0,48,48,5,48,356,0,0,0,66,3,1,413,63,32,1,6,1,15,15,16,802,16,128,1920,0,0,0,0,0,0,0,0,0,0,48,327,16,295,0,0,0,0,1.000
avl,vscopy_hdv,,64,,,,PASSED,54,.843,,122,9,0,1,4,2,4,4,2,2,0,6,6,5,6,20,0,0,0,10,3,1,43,7,4,1,6,1,1,1,2,438,2,128,128,0,0,0,0,0,0,0,0,0,0,6,19,2,15,0,0,0,0,1.000
