group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
blas,vsgemm_m4_1r,vsgemm_m4_1r,,128,1,128,PASSED,811169,,.3867,811237,116102,0,2,16641,0,32896,32896,2,129,0,33025,32897,16641,32897,16512,0,0,0,99328,16895,16766,811161,82433,49793,33280,9,18432,0,0,16384,795010,144,8388608,0,0,0,0,0,0,0,0,2048,0,16384,33152,21480,128,4968,127,0,0,0,
blas,vsgemm_m4_1r,vsgemm_m4_1r,,16,1,16,PASSED,8241,,2.0119,8309,1974,0,0,289,0,528,528,2,17,0,545,529,289,529,272,0,0,0,1667,321,305,8233,1346,849,580,6,256,0,0,256,8322,16,16384,0,0,0,0,0,0,0,0,0,0,256,560,272,0,0,0,0,0,0,
blas,vsgemm_m4_1r,vsgemm_m4_1r,,32,1,32,PASSED,31806,,.9706,31874,7526,0,0,1089,0,2080,2080,2,33,0,2113,2081,1089,2081,1056,0,0,0,6401,1151,1119,31798,5250,3233,2178,6,1024,0,0,1024,31103,32,131072,0,0,0,0,0,0,0,0,0,0,1024,2144,1149,0,93,0,0,0,0,
blas,vsgemm_m4_1r,vsgemm_m4_1r,,64,1,64,PASSED,137646,,.5250,137714,29382,0,1,4225,0,8256,8256,2,65,0,8321,8257,4225,8257,4160,0,0,0,25088,4350,4286,137638,20738,12609,8450,6,4352,0,0,4096,133839,64,1048576,0,0,0,0,0,0,0,0,256,0,4096,8384,4853,64,693,0,0,0,0,
