group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
avl,vsaxpy_hdv,,1024,,,,PASSED,771,.752,,839,128,0,1,96,32,157,157,8,3,0,160,223,8,160,587,0,0,0,160,2,1,751,158,63,1,4,37,63,63,64,1132,33,384,7696,0,0,61,0,2,59,28,0,0,21,160,496,63,1,400,400,80,0,1.000
avl,vsaxpy_hdv,,128,,,,PASSED,101,.789,,169,16,0,2,12,4,17,17,8,3,0,20,27,8,20,57,0,0,0,20,2,1,87,18,7,1,4,8,5,5,8,490,4,384,640,0,0,5,0,0,4,1,0,0,16,20,50,7,1,38,38,10,0,1.000
avl,vsaxpy_hdv,,2048,,,,PASSED,1552,.757,,1620,256,0,1,192,64,317,317,8,3,15,320,462,8,320,1208,0,0,0,320,2,1,1532,318,127,1,4,71,127,127,128,1881,66,688,15408,0,0,123,0,4,119,57,0,0,21,320,1021,126,1,829,829,160,0,1.000
avl,vsaxpy_hdv,,256,,,,PASSED,195,.761,,263,32,0,1,24,8,37,37,8,3,0,40,55,8,40,131,0,0,0,40,2,1,175,38,15,1,4,12,13,13,16,580,8,384,1664,0,0,13,0,0,12,4,0,0,23,40,112,15,1,88,88,20,0,1.000
avl,vsaxpy_hdv,,32,,,,PASSED,28,.875,,96,4,0,2,3,1,4,4,2,1,0,5,7,4,5,3,0,0,0,4,0,0,20,4,0,0,5,2,0,0,2,420,1,256,0,0,0,0,0,0,0,0,0,0,2,5,3,2,1,0,0,2,0,
avl,vsaxpy_hdv,,4096,,,,PASSED,3114,.760,,3182,512,0,1,384,128,637,637,8,3,45,640,940,8,640,2450,0,0,0,640,2,1,3094,638,255,1,4,139,255,255,256,3379,132,1296,30832,0,0,247,0,8,239,115,0,0,21,640,2071,252,1,1687,1687,320,0,1.000
avl,vsaxpy_hdv,,512,,,,PASSED,387,.755,,455,64,0,1,48,16,77,77,8,3,0,80,111,8,80,283,0,0,0,80,2,1,367,78,31,1,4,20,29,29,32,764,16,384,3712,0,0,29,0,0,28,12,0,0,23,80,240,31,1,192,192,40,0,1.000
avl,vsaxpy_hdv,,64,,,,PASSED,47,.734,,115,8,0,2,6,2,8,8,3,2,0,10,14,6,10,14,0,0,0,10,2,1,38,8,3,1,4,4,2,2,4,438,2,256,256,0,0,2,0,0,2,1,0,0,22,10,12,4,1,6,6,5,0,1.000
avl,vscopy_hdv,,1024,,,,PASSED,832,.812,,900,96,0,0,64,32,94,94,5,2,0,96,128,5,96,713,0,0,0,130,3,1,808,127,34,2,6,33,32,32,32,1193,33,128,3920,0,0,31,0,1,0,0,0,0,0,96,652,32,588,0,0,32,0,1.000
avl,vscopy_hdv,,128,,,,PASSED,104,.812,,172,12,0,0,8,4,10,10,5,2,0,12,16,5,12,69,0,0,0,18,3,1,80,15,6,2,5,4,3,3,4,493,4,128,384,0,0,3,0,0,0,0,0,0,0,12,64,4,56,0,0,4,0,1.000
avl,vscopy_hdv,,2048,,,,PASSED,1657,.809,,1725,192,0,0,128,64,190,190,5,2,0,192,256,5,192,1442,0,0,0,258,3,1,1633,255,66,2,6,66,65,65,64,1986,66,128,7904,0,0,63,0,2,0,0,0,0,0,192,1317,64,1189,0,0,64,0,1.000
avl,vscopy_hdv,,256,,,,PASSED,208,.812,,276,24,0,0,16,8,22,22,5,2,0,24,32,5,24,161,0,0,0,34,3,1,184,31,10,2,5,8,7,7,8,593,8,128,896,0,0,7,0,0,0,0,0,0,0,24,148,8,132,0,0,8,0,1.000
avl,vscopy_hdv,,32,,,,PASSED,25,.781,,93,3,0,2,2,1,2,2,1,1,0,3,4,3,3,2,0,0,0,5,1,0,17,4,2,1,4,1,0,0,1,417,1,128,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,1,0,
avl,vscopy_hdv,,4096,,,,PASSED,3307,.807,,3375,384,0,0,256,128,382,382,5,2,0,384,512,5,384,2900,0,0,0,514,3,1,3283,511,130,2,6,132,131,131,128,3572,132,128,15872,0,0,127,0,4,0,0,0,0,0,384,2647,128,2391,0,0,128,0,1.000
avl,vscopy_hdv,,512,,,,PASSED,416,.812,,484,48,0,0,32,16,46,46,5,2,0,48,64,5,48,345,0,0,0,66,3,1,392,63,18,2,6,16,15,15,16,793,16,128,1920,0,0,15,0,0,0,0,0,0,0,48,316,16,284,0,0,16,0,1.000
