group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cycles_raw,ara_backpressure_cycles,real_wait_stall,resp_meta_stall,resp_meta_max,ep_count,packed_inst_count,packed_scalar_inst_count,packed_vector_inst_count,ep_width_sum,ep_width_gt1_count,ep_scalar_vector_count,used_issue_slots,available_issue_slots,heu_to_current,heu_to_buffer,heu_scalar_only,heu_vector_only,heu_pf_hint_ep,heu_pf_disable_ep,heu_pf_mode_1x,heu_pf_mode_2x,heu_pf_mode_4x,heu_pf_mode_8x,heu_valid_cyc,heu_ready_block_cyc,heu_block_buffer_cyc,heu_block_branch_cyc,heu_current_busy_cyc,heu_buffer_valid_cyc,heu_scalar_out_cyc,heu_vector_out_cyc,early_issue_attempts,early_issue_grants,early_issue_blocked_by_dispatch,early_issue_blocked_by_queue,early_issue_blocked_by_branch,early_issue_blocked_by_scalar_mem,early_issue_blocked_by_dependency,early_issue_blocked_by_gpr_dependency,early_issue_blocked_by_fpr_dependency,early_issue_blocked_by_vector_dependency,cross_ep_inflight_cycles,overlap_cycles,vector_cmd_valid_cycles,vector_cmd_fire_count,vector_cmd_blocked_cycles,cmd_window_avg_occ,cmd_window_sum_occ,cmd_window_sample_cycles,cmd_window_max_occ,cmd_window_full_cycles,cmd_window_empty_cycles,vq_avg_occ,vq_empty_cycles,vq_full_cycles,resp_meta_sum_occ,resp_meta_sample_cycles,scalar_operand_capture_count,scalar_operand_bypass_hit,scalar_operand_wait_cycles,vset_visible_wait_cycles,scalar_operand_bypass,scalar_operand_lookahead_req,scalar_operand_lookahead_hit,scalar_operand_port_busy,vector_ep_enqueue,vector_ep_pending_enqueue,vector_ep_ready_block,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,pf_throttled_cycles,pf_late,pf_unused,pf_wait_match_cyc,pf_wait_match_evt,pf_queue_valid_cyc,pf_queue_block_cyc,pf_lkup_full_cyc,pf_rob_full_cyc,pf_pending_cyc,pf_stream_break,pf_future_keep,pf_queue_match_cyc,pf_rob_match_cyc,pf_page_wait_cyc,seq_issue,seq_blocked_cycles,seq_raw_cycles,seq_war_cycles,seq_waw_cycles,seq_waw_block,seq_ep_bypass,seq_full,hazard_check_count,same_ep_hazard_candidate,hazard_pruned_by_ep,seq_true_hazard_stall,seq_false_hazard_stall,seq_queue_full_stall,seq_lane_desync_stall,seq_operand_req_stall,seq_wait_state_cyc,seq_mem_wait_cyc,pf_hit_rate
avl,vvaddint32_hdv,,1024,,,,PASSED,789,.770,,857,128,0,2,96,32,158,158,8,2,0,160,128,4,128,608,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,128,,,,,,,,,162,3,1,771,159,64,1,4,2,64,64,64,1144,33,256,7936,0,0,3,0,2,17,0,0,0,106,,,,,,,,,,,,,,,,160,514,32,433,3,3,0,0,,,,,,,,,,,1.000
avl,vvaddint32_hdv,,128,,,,PASSED,116,.906,,184,16,0,2,12,4,18,18,7,2,0,20,16,4,16,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,16,,,,,,,,,22,3,1,96,19,8,1,5,2,6,6,8,499,4,256,768,0,0,0,0,0,2,0,0,0,9,,,,,,,,,,,,,,,,20,65,4,54,3,3,0,0,,,,,,,,,,,1.000
avl,vvaddint32_hdv,,2048,,,,PASSED,1556,.759,,1624,256,0,2,192,64,318,318,8,2,0,320,256,4,256,1215,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,256,,,,,,,,,322,3,1,1536,319,128,1,4,2,130,130,128,1879,66,256,16048,0,0,5,0,4,33,0,0,0,217,,,,,,,,,,,,,,,,320,1025,64,865,4,4,0,0,,,,,,,,,,,1.000
avl,vvaddint32_hdv,,256,,,,PASSED,213,.832,,281,32,0,2,24,8,38,38,8,2,0,40,32,4,32,152,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,32,,,,,,,,,42,3,1,195,39,16,1,5,2,14,14,16,592,8,256,1792,0,0,0,0,0,4,0,0,0,23,,,,,,,,,,,,,,,,40,130,8,109,3,3,0,0,,,,,,,,,,,1.000
avl,vvaddint32_hdv,,32,,,,PASSED,28,.875,,96,4,0,2,3,1,4,4,2,1,0,5,4,2,4,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,6,1,0,20,5,1,0,4,2,0,0,2,414,1,256,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,5,3,1,0,0,0,0,0,,,,,,,,,,,
avl,vvaddint32_hdv,,4096,,,,PASSED,3090,.754,,3158,512,0,2,384,128,638,638,8,2,0,640,512,4,512,2429,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,512,,,,,,,,,642,3,1,3070,639,256,1,4,2,262,262,256,3349,132,256,32272,0,0,9,0,8,65,0,0,0,439,,,,,,,,,,,,,,,,640,2047,128,1729,6,6,0,0,,,,,,,,,,,1.000
avl,vvaddint32_hdv,,512,,,,PASSED,405,.791,,473,64,0,2,48,16,78,78,8,2,0,80,64,4,64,304,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,64,,,,,,,,,82,3,1,387,79,32,1,4,2,30,30,32,776,16,256,3840,0,0,0,0,0,8,0,0,0,51,,,,,,,,,,,,,,,,80,258,16,217,3,3,0,0,,,,,,,,,,,1.000
avl,vvaddint32_hdv,,64,,,,PASSED,71,1.109,,139,8,0,0,6,2,8,8,4,2,0,10,8,4,8,40,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,8,,,,,,,,,12,3,1,38,9,4,1,4,2,2,2,4,456,2,256,256,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,10,36,2,30,3,3,0,0,,,,,,,,,,,1.000
